years_experience,education_level,skills_score,interview_score,gender,ethnicity,hired
0,2,58.3,40.1,0,3,0
8,4,86.8,49.3,0,1,1
5,4,61.4,8.8,1,2,0
17,2,71.2,86.0,1,1,0
22,3,49.0,30.8,0,2,1
10,2,30.9,69.7,0,2,0
17,1,63.1,75.4,1,1,1
5,2,94.8,86.7,1,2,0
21,4,53.6,82.1,0,1,1
4,4,72.7,63.3,0,1,1
5,2,62.9,81.6,1,1,0
17,3,74.3,37.9,1,3,1
9,1,80.1,70.6,0,1,1
20,2,84.5,81.7,1,2,1
6,4,45.6,73.6,1,2,0
22,1,79.1,74.0,1,1,1
13,1,82.9,28.2,1,1,0
14,4,86.5,59.0,1,2,1
10,2,91.3,81.6,0,3,1
1,2,88.0,86.9,1,2,0
13,4,65.0,42.2,0,2,1
8,4,80.4,75.2,1,1,1
16,1,41.4,64.0,1,2,0
0,2,77.8,80.9,1,3,0
17,4,44.9,51.5,0,2,1
20,4,56.8,87.0,0,1,1
2,1,88.1,43.4,1,1,0
21,3,82.7,77.3,0,3,1
20,1,100.0,73.8,1,3,1
21,2,87.9,44.5,0,2,1
6,1,81.3,90.3,0,1,1
17,4,78.8,53.8,1,3,1
19,1,42.8,100.0,0,1,1
24,3,39.6,75.3,1,3,0
21,2,82.8,100.0,0,2,1
6,2,58.3,93.8,0,2,1
20,3,54.2,59.7,0,1,1
10,2,43.1,96.9,1,1,0
0,4,100.0,82.1,1,1,1
19,3,90.4,52.7,1,2,1
13,1,28.8,23.9,0,2,0
22,2,73.2,90.7,0,3,1
5,1,75.3,63.3,1,2,0
6,2,92.0,60.9,0,3,0
6,3,75.4,76.3,0,3,1
9,2,79.4,59.4,1,2,0
1,1,95.0,74.2,1,1,0
7,4,73.2,31.2,1,3,0
23,3,87.1,58.2,0,3,1
14,3,57.5,84.0,0,2,1
21,1,77.3,77.1,0,2,1
7,3,61.4,100.0,1,3,0
15,1,69.7,40.8,1,3,0
22,2,64.5,43.7,0,2,1
22,4,44.3,34.8,0,3,1
24,3,94.7,72.1,1,2,1
0,2,82.9,77.9,1,2,0
9,1,77.7,44.9,1,2,0
24,3,76.8,80.0,0,2,1
19,2,70.1,24.5,1,3,0
2,4,88.3,56.0,1,3,1
22,3,98.3,20.9,1,1,1
19,4,80.0,52.3,0,1,1
7,1,79.6,79.0,1,3,0
13,3,79.6,43.7,1,3,1
24,3,76.1,78.2,0,3,1
5,2,75.3,67.3,0,1,1
12,1,72.0,55.7,1,3,0
15,3,62.6,45.5,0,1,1
11,4,76.4,77.4,0,1,1
6,4,82.1,23.9,1,2,0
4,2,49.4,57.7,1,2,0
12,4,74.0,55.2,1,1,1
13,2,79.9,76.2,0,3,1
21,1,69.3,65.0,0,2,1
14,1,61.7,58.9,1,2,0
11,4,82.3,83.6,0,3,1
20,1,85.8,32.1,0,3,0
6,1,79.9,53.1,0,2,0
14,1,61.6,77.6,0,3,0
24,4,71.2,80.2,1,1,1
19,2,57.8,56.5,0,2,1
15,4,47.9,78.8,0,3,0
11,4,93.5,34.9,1,2,1
1,4,79.5,32.5,1,3,0
1,3,89.1,48.7,1,1,0
11,3,69.1,65.9,0,3,1
8,2,86.9,63.8,1,3,0
12,1,80.0,63.1,0,3,0
11,1,56.7,81.2,0,2,1
15,3,59.3,49.0,1,1,0
3,1,34.3,76.3,1,2,0
7,1,57.7,77.9,0,3,0
14,2,66.3,62.4,0,2,1
13,1,96.6,58.1,0,1,1
6,3,85.8,88.0,1,3,0
24,2,54.6,90.4,1,1,1
3,1,78.3,59.0,1,1,0
19,2,61.3,59.7,0,2,1
0,4,82.4,95.3,0,1,1
14,4,76.3,0.4,1,2,0
8,3,61.2,64.1,0,2,1
9,2,86.9,80.7,1,2,1
13,2,65.4,66.9,1,3,0
19,4,51.5,61.5,0,3,1
24,1,52.2,64.3,0,2,1
15,4,66.4,55.4,1,3,0
5,4,62.4,96.6,1,2,1
1,4,76.3,62.2,1,3,0
15,3,63.8,55.1,1,3,0
15,3,67.0,71.5,0,2,1
20,1,48.0,74.3,1,1,0
4,4,65.9,23.4,0,1,1
11,3,76.3,38.0,0,1,1
14,1,87.7,86.2,1,1,1
4,3,47.3,58.5,0,1,1
23,3,100.0,81.7,0,1,1
18,4,71.4,47.1,1,1,1
12,4,74.0,55.3,0,1,1
5,1,63.6,29.8,1,1,0
9,2,90.0,61.9,1,1,1
9,4,53.8,55.9,1,1,1
14,2,48.3,69.0,1,2,0
15,4,69.6,92.7,1,2,1
3,3,64.7,99.3,0,3,1
19,4,80.7,53.4,1,2,1
0,2,83.0,35.2,0,1,0
23,3,69.6,33.6,0,1,1
16,4,59.5,28.3,0,3,0
10,2,69.2,57.3,1,1,0
20,2,81.8,49.1,1,2,1
24,4,88.4,65.8,0,3,1
8,4,69.3,51.2,1,3,0
8,4,60.0,81.0,1,1,0
16,2,60.1,88.9,1,2,1
10,3,42.2,76.7,0,2,1
14,2,70.1,94.0,0,1,1
14,4,55.5,59.6,0,3,1
1,4,72.5,78.4,1,2,0
1,4,70.2,55.8,1,3,0
8,2,45.2,60.0,0,3,0
14,4,68.2,55.0,1,3,1
5,3,73.2,74.3,1,3,0
16,1,59.9,72.2,1,3,0
17,3,52.1,53.6,0,3,1
1,2,94.7,65.8,0,1,1
14,2,48.9,100.0,1,3,0
19,4,80.8,59.9,0,2,1
21,1,84.7,86.2,0,3,1
0,4,21.1,83.1,1,1,0
4,4,42.2,78.6,1,3,0
0,3,77.4,100.0,1,3,0
20,1,69.6,61.4,0,2,1
6,2,50.4,52.8,1,2,0
12,3,39.4,79.3,1,1,0
11,1,70.4,57.0,1,3,0
8,3,75.8,84.8,1,2,1
4,2,45.9,57.9,0,3,0
13,2,50.4,65.2,1,3,0
24,2,49.4,70.0,1,2,1
18,3,74.6,23.0,1,2,1
4,3,55.4,55.9,0,2,1
19,2,73.6,92.3,1,1,1
20,3,83.2,61.0,0,3,1
9,4,100.0,82.3,0,1,1
15,1,85.0,89.2,0,1,1
10,3,69.2,33.1,1,1,0
6,4,76.5,71.4,1,1,1
10,1,100.0,100.0,0,2,1
1,1,85.4,71.7,1,1,0
14,3,71.9,44.4,1,3,0
0,3,55.9,54.0,0,2,0
22,4,78.2,47.6,0,1,1
22,2,66.1,89.8,0,1,1
3,3,67.4,53.6,1,2,0
20,1,79.6,66.3,0,1,1
9,4,78.1,58.2,1,3,0
10,2,78.2,91.5,1,2,1
1,1,68.6,86.7,0,2,0
15,2,58.3,47.4,1,2,0
11,4,63.8,80.9,1,1,1
6,1,63.9,74.0,1,2,0
1,4,27.8,64.1,0,3,0
10,1,60.1,77.4,1,1,0
22,1,56.9,29.5,0,1,0
2,3,35.9,50.6,1,1,0
11,1,86.4,85.4,1,3,1
0,1,62.8,82.1,0,1,0
17,3,54.5,48.2,1,2,1
3,1,97.7,65.0,0,1,0
11,1,69.7,70.7,1,2,0
7,3,97.9,77.1,0,1,1
16,1,67.4,64.9,1,1,1
16,4,51.0,82.5,0,1,1
10,3,48.8,70.4,0,3,1
10,2,60.4,65.9,0,1,0
16,1,48.2,63.4,0,3,0
22,4,86.6,85.9,1,2,1
1,2,76.0,85.8,1,3,0
6,3,49.3,96.8,0,1,1
20,2,100.0,75.4,0,3,1
24,1,66.6,69.9,0,3,1
11,4,84.7,68.3,0,1,1
14,3,74.7,100.0,1,1,1
7,3,53.5,75.2,1,1,0
7,1,53.7,69.6,0,3,0
19,1,72.1,49.1,1,1,1
11,3,82.6,74.7,0,1,1
17,4,77.8,65.3,0,1,1
17,2,76.8,50.7,1,1,0
7,3,57.4,67.6,0,2,1
15,4,56.9,79.1,1,1,1
23,1,63.9,82.5,1,2,1
7,3,73.3,63.3,0,3,0
16,4,71.9,59.9,0,1,1
12,3,93.1,64.1,0,1,1
20,1,87.7,69.1,0,3,1
15,3,74.1,75.3,1,3,0
8,4,65.7,36.0,1,2,0
21,1,49.2,55.5,0,1,0
14,1,92.0,38.7,1,2,1
16,2,79.6,82.7,1,2,1
22,2,82.5,48.1,1,1,0
22,3,77.6,60.8,1,1,1
6,2,84.6,72.0,1,2,0
10,2,65.4,84.2,1,2,1
